index,rank,information__list_id,information__system,information__is_cloud,information__is_vendor,information__institution,information__storage_vendor,information__submission_date,information__storage_install_date,information__filesystem_type,information__filesystem_version,information__client_nodes,information__client_total_procs,information__client_procs_per_node,information__client_operating_system,information__client_operating_system_version,information__client_kernel_version,information__md_nodes,information__md_storage_devices,information__md_volatile_memory_capacity,information__md_storage_type,information__md_storage_interface,information__md_network,information__ds_nodes,information__ds_storage_devices,information_net_ds_storage_devices,information__ds_volatile_memory_capacity,information__ds_storage_type,information__ds_storage_interface,information__ds_storage_price_gb,information__ds_storage_net_price_per_gb,information__ds_network,ior__easy_write,ior__easy_read,ior__hard_write,ior__hard_read,mdtest__easy_write,mdtest__easy_stat,mdtest__easy_delete,mdtest__hard_write,mdtest__hard_read,mdtest__hard_stat,mdtest__hard_delete,find__easy,io500__tot_iops,io500__bw,io500__md,io500__score
20,21,sc19,Tera-1000,no,-1.0,CEA,DDN,11/7/2019,9/16/2019,Lustre,2.12.3,128,4096,32,CentOS,7.6.1810,3.10.0-957.21.3,128.0,1.0,75,NAND,NVMe,IB-EDR,128.0,1.0,128.0,75,NAND,None,0.15,19.2,IB-EDR,836.65,789.34,4.49,14.51,1317.85,384.57,676.12,465.51,348.6,730.73,243.33,795.81,486.73,81.01,545.74,210.26
13,14,sc19,Tianhe-2E,no,-1.0,National Supercomputing Center in Changsha,National University of Defense Technology,11/10/2019,8/1/2019,Lustre,2.12.2,480,5280,11,Kylin Linux,4,3.10.0,40.0,1.0,6144,NAND,NVMe,Omnipath,52.0,11.0,572.0,384,NAND,NVMe,0.15,85.8,Omnipath,608.64,613.53,31.87,161.64,1099.18,2416.4,961.62,554.07,779.21,2419.15,203.5,1603.06,988.79,209.43,982.78,453.68
65,66,sc19,Tianhe-2E,no,-1.0,National Supercomputing Center in Changsha,National University of Defense Technology,11/11/2019,8/1/2019,Lustre,2.12.2,10,160,16,Kylin Linux,4,3.10.0,40.0,1.0,6144,NAND,NVMe,Omnipath,52.0,11.0,572.0,384,NAND,NVMe,0.15,85.8,Omnipath,172.24,96.01,5.21,13.27,117.84,49.65,180.85,20.08,21.89,49.42,25.42,2042.91,97.22,32.71,76.67,50.08
64,65,sc19,Tianhe-2E,no,-1.0,National Supercomputing Center in Changsha,National University of Defense Technology,11/12/2019,8/1/2019,Lustre,2.12.2,10,160,16,Kylin Linux,4,3.10.0,40.0,1.0,6144,NAND,NVMe,Omnipath,52.0,11.0,572.0,384,NAND,NVMe,0.15,85.8,Omnipath,185.44,107.45,6.62,11.46,108.73,49.66,212.8,20.3,22.14,49.67,25.29,2305.16,101.39,35.06,78.86,52.58
93,94,sc19,TigerShark,no,-1.0,SUSE,"SUSE, Intel, Lenovo",11/7/2019,11/1/2018,CephFS,6 (14.2.4),10,80,8,SUSE Linux Enterprise,15 SP1,4.12.14-197.21-default,15.0,1.0,32,NAND,NVMe,100GbE,10.0,12.0,120.0,96,NAND,SATA,0.15,18.0,100GbE,14.62,7.72,1.27,3.23,25.74,105.16,18.02,9.29,37.03,41.55,6.28,348.84,29.1,4.64,33.34,12.43
89,90,sc19,TigerShark,no,-1.0,SUSE,"SUSE, Intel, Lenovo",11/7/2019,11/1/2018,CephFS,6 (14.2.4),15,120,8,SUSE Linux Enterprise,15 SP1,4.12.14-197.21-default,15.0,1.0,32,NAND,NVMe,100GbE,10.0,12.0,120.0,96,NAND,SATA,0.15,18.0,100GbE,16.07,9.14,1.57,4.7,32.82,127.92,20.84,12.92,41.64,68.79,6.22,250.5,34.51,5.74,38.72,14.91
92,93,sc19,Vast,no,-1.0,"Janelia Research Campus, HHMI",Vast Data,11/11/2019,19-Jan,None,2.0.6,88,2816,32,Scientific-Linux,7.6,3.10.0-957.10.1.el7.x86_64,12.0,3.0,-1,3DXP,NVMe,50GbE,6.0,36.0,216.0,-1,NAND,NVMe,0.15,32.4,Ethernet,12.35,39.04,2.26,4.39,44.7,306.3,65.34,1.32,33.21,52.11,1.72,4.4,24.11,8.31,18.79,12.5
101,102,sc19,Vast,no,-1.0,"Janelia Research Campus, HHMI",Vast Data,11/4/2019,19-Jan,None,2.0.1,10,820,82,Scientific-Linux,7.7,3.10.0-957.10.1.el7.x86_64,12.0,3.0,-1,3DXP,NVMe,50GbE,6.0,36.0,216.0,-1,NAND,NVMe,0.15,32.4,Ethernet,12.35,16.27,1.74,4.55,15.63,130.99,31.14,0.68,7.61,11.36,0.82,37.31,14.61,6.31,10.17,8.01
108,109,isc20,Vast,no,-1.0,"Janelia Research Campus, HHMI",Vast Data,7/13/2020,11/1/2019,None,2.0.7,10,620,62,Scientific-Linux,7.7,3.10.0-1062.9.1.el7.x86_64,4.0,12.0,-1,3DXP,NVMe,50GbE,1.0,132.0,132.0,-1,NAND,NVMe,0.15,19.8,100GbE,2.89,12.63,1.1,3.75,12.46,84.28,9.63,2.25,11.52,20.81,1.79,21.22,12.62,3.51,10.95,6.2
110,111,isc20,Vast,no,-1.0,"Janelia Research Campus, HHMI",Vast Data,7/13/2020,12/1/2019,None,2.0.7,10,620,62,Scientific-Linux,7.7,3.10.0-1062.9.1.el7.x86_64,4.0,12.0,-1,3DXP,NVMe,50GbE,1.0,132.0,132.0,-1,NAND,NVMe,0.15,19.8,100GbE,3.02,13.08,1.14,3.57,12.8,82.42,10.24,2.27,11.88,22.25,2.02,0.42,9.37,3.56,6.96,4.98
98,99,isc20,Vast,no,-1.0,"Janelia Research Campus, HHMI",Vast Data,7/13/2020,19-Jan,None,2.0.6,10,620,62,Scientific-Linux,7.6,3.10.0-957.10.1.el7.x86_64,24.0,12.0,-1,3DXP,NVMe,50GbE,6.0,36.0,216.0,-1,NAND,NVMe,0.15,32.4,100GbE,9.9,20.06,1.85,4.47,25.83,265.67,28.24,0.69,81.21,10.38,0.84,31.84,19.26,6.36,15.32,9.87
27,28,isc20,Venus2,no,-1.0,National Supercomputer Center in Guangzhou,National Supercomputer Center in Guangzhou,7/13/2020,4/28/2020,kapok,1,10,260,26,CentOS,7.3.1611,3.10.0-514.el7.x86_64,20.0,1.0,64,NAND,SATA,None,38.0,1.0,38.0,64,NAND,NVMe,0.15,5.7,Ethernet,38.7,64.1,9.92,35.73,277.09,1355.07,647.3,209.1,438.04,1245.93,532.29,4684.31,421.8,30.62,716.11,148.08
9,10,sc19,Wolf,no,-1.0,Intel,Intel,11/8/2019,None,DAOS,0.6,10,310,31,CentOS,7.7.1908,3.10.0-1062.1.2.el7.x86_64,0.0,-1.0,-1,None,None,None,24.0,2.0,48.0,128,3DXP,DIMM,10.0,480.0,Omnipath,108.31,185.12,93.18,126.12,2615.89,2856.7,1880.53,1273.79,1897.29,2829.32,1869.05,2565.53,1399.89,123.89,2152.46,516.41
3,4,sc19,Wolf,no,-1.0,Intel,Intel,11/8/2019,None,DAOS,0.6,26,728,28,CentOS,7.7.1908,3.10.0-1062.1.2.el7.x86_64,0.0,-1.0,-1,None,None,None,24.0,2.0,48.0,128,3DXP,DIMM,10.0,480.0,Omnipath,108.24,308.91,122.91,275.09,6003.6,7237.0,4556.56,2417.72,4067.59,6870.7,4551.32,4283.79,2705.53,183.36,4753.79,933.64
